Word
Arabic
Assamese
Bengali
Bhutia
Bodo
French
German
Gujarati
Japanese
Kannada
Kashmiri
Kokborok
Lepcha
Limboo
Malayalam
Manipuri
Marathi
Mizo
Nepali
Odia
Persian
Punjabi
Russian
Sindhi
Spanish
Tamil
Tangkhul
Tibetan
Accountancy
Biology
Biotechnology
Chemistry
Computer
Economics
Graphics
Entrepreneurship
Arts
Dance
Geography
Hindustani 
History
IP
Legal
Mathematics
NCC
Physics
Psychology
Sociology
Retail
Automotive
Management
Tourism
Agriculture
Banking
Marketing
Healthcare
Insurance
Horticulture
Geospatial 
Electrical 
Electronic 
Multimedia
Taxation
Shorthand 
Design
Salesmanship
Yoga
